id,status_id,status_nome,projeto_id,projeto_nome,tipo_id,tipo_nome,first_story_point,last_story_point,lead_time,cycle_time
NGBC-1677,10008,Done,NGBC,B2C,10200,Story,3,3,40,1
NGBC-1681,10008,Done,NGBC,B2C,10600,Technical Story,3,3,9,5
NGBC-1684,10008,Done,NGBC,B2C,10200,Story,5,5,33,24
NGBC-169,10104,Canceled,NGBC,B2C,10201,Bug,NULL,NULL,6,3
NGBC-1692,10008,Done,NGBC,B2C,10200,Story,3,3,47,7
NGBC-1694,10008,Done,NGBC,B2C,10600,Technical Story,2,2,6,0.92
NGBC-1699,10008,Done,NGBC,B2C,10201,Bug,3,3,1,0.83
NGBC-170,10008,Done,NGBC,B2C,10201,Bug,NULL,NULL,36,35
NGBC-171,10008,Done,NGBC,B2C,10201,Bug,NULL,NULL,38,37
NGBC-1710,10008,Done,NGBC,B2C,10600,Technical Story,3,3,42,2
NGBC-1713,10008,Done,NGBC,B2C,10600,Technical Story,3,3,4,3
NGBC-172,10008,Done,NGBC,B2C,10103,Task,NULL,NULL,0,0
NGBC-1721,10008,Done,NGBC,B2C,10200,Story,3,3,18,4
NGBC-1723,10008,Done,NGBC,B2C,10600,Technical Story,2,2,13,1
NGBC-1725,10008,Done,NGBC,B2C,10201,Bug,2,2,0.96,0.96
NGBC-1727,10008,Done,NGBC,B2C,10201,Bug,2,2,0.88,0.75
NGBC-173,10008,Done,NGBC,B2C,10201,Bug,NULL,NULL,11,10
NGBC-1730,10008,Done,NGBC,B2C,10201,Bug,2,2,0.75,0.75
NGBC-1732,10008,Done,NGBC,B2C,10201,Bug,3,3,3,3
NGBC-1742,10008,Done,NGBC,B2C,10201,Bug,3,3,1,1
NGBC-1743,10008,Done,NGBC,B2C,10201,Bug,5,5,27,5
NGBC-1750,10008,Done,NGBC,B2C,10201,Bug,2,2,0,0
NGBC-1756,10008,Done,NGBC,B2C,10200,Story,NULL,NULL,121,8
NGBC-1759,10008,Done,NGBC,B2C,10200,Story,2,2,12,12
NGBC-1765,10008,Done,NGBC,B2C,10201,Bug,2,2,0.17,0.17
NGBC-1769,10008,Done,NGBC,B2C,10600,Technical Story,3,3,11,8
NGBC-1770,10008,Done,NGBC,B2C,10600,Technical Story,3,3,3,3
NGBC-1771,10008,Done,NGBC,B2C,10600,Technical Story,3,3,11,0.25
NGBC-1792,10008,Done,NGBC,B2C,10201,Bug,3,3,7,7
NGBC-1810,10008,Done,NGBC,B2C,10200,Story,3,3,21,7
NGBC-1827,10008,Done,NGBC,B2C,10600,Technical Story,1,1,0.33,0.29
NGBC-1829,10008,Done,NGBC,B2C,10200,Story,3,3,23,1
NGBC-1831,10008,Done,NGBC,B2C,10201,Bug,2,2,1,1
NGBC-1846,10008,Done,NGBC,B2C,10200,Story,2,2,24,3
NGBC-1847,10008,Done,NGBC,B2C,10600,Technical Story,2,2,0.21,0.17
NGBC-1850,10008,Done,NGBC,B2C,10201,Bug,3,3,1,1
NGBC-1869,10008,Done,NGBC,B2C,10600,Technical Story,5,5,1,0.21
NGBC-187,10008,Done,NGBC,B2C,10200,Story,NULL,NULL,0.04,0
NGBC-1875,10008,Done,NGBC,B2C,10200,Story,5,5,14,8
NGBC-1881,10008,Done,NGBC,B2C,10600,Technical Story,3,3,5,0.08
